blockchain,nft_contract_address,project_contract_address,token_id,evt_type,trade_category,trade_type,tx_hash,block_time,block_number,amount_raw,amount_original,amount_usd,currency_contract,currency_symbol,project,number_of_items,tx_from,tx_to
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,10592,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,10336,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0x7037843d739d846cdce3a6839a80f7d70b60b99a,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,9757,Trade,buy,single item trade,0x0403c4b91e1803d8790e9dd01f39a1bccf301469563c8fd4ec3cbbe552bbe7fb,2023-11-20 00:02:11.000 UTC,18609294,69000000000000000,0.069,138.92391,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0xb534e93b9b68a0f39bc05b11d2c02a342d625b31,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,18718,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,13671,Trade,offer accepted,single item trade,0x3593120327af330aeef2f2476ea567b00af61c52154d0dfe1ba5a9fdae2c8c68,2023-11-20 00:02:35.000 UTC,18609296,1612100000000000000,1.6121,3245.786019,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,opensea,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,15354,Trade,offer accepted,single item trade,0x3593120327af330aeef2f2476ea567b00af61c52154d0dfe1ba5a9fdae2c8c68,2023-11-20 00:02:35.000 UTC,18609296,1612100000000000000,1.6121,3245.786019,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,opensea,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,5315,Trade,offer accepted,single item trade,0x3593120327af330aeef2f2476ea567b00af61c52154d0dfe1ba5a9fdae2c8c68,2023-11-20 00:02:35.000 UTC,18609296,1612100000000000000,1.6121,3245.786019,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,opensea,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xe6d48bf4ee912235398b96e16db6f310c21e82cb,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,2593,Trade,Sell,secondary,0x0a55677bd336da973d87102b0d3bc93a228b64e1905c107f0bd5599528eb6093,2023-11-20 00:02:35.000 UTC,18609296,90000000000000000,0.09,181.20510000000002,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xa50a9a55811d105c2d5451c688b4b74954161185,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,13901,Trade,offer accepted,single item trade,0x3593120327af330aeef2f2476ea567b00af61c52154d0dfe1ba5a9fdae2c8c68,2023-11-20 00:02:35.000 UTC,18609296,1612100000000000000,1.6121,3245.786019,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,opensea,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,12773,Trade,offer accepted,single item trade,0x3593120327af330aeef2f2476ea567b00af61c52154d0dfe1ba5a9fdae2c8c68,2023-11-20 00:02:35.000 UTC,18609296,1612100000000000000,1.6121,3245.786019,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,opensea,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,3349,Trade,offer accepted,single item trade,0x3593120327af330aeef2f2476ea567b00af61c52154d0dfe1ba5a9fdae2c8c68,2023-11-20 00:02:35.000 UTC,18609296,1612100000000000000,1.6121,3245.786019,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,opensea,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,2225,Trade,offer accepted,single item trade,0x3593120327af330aeef2f2476ea567b00af61c52154d0dfe1ba5a9fdae2c8c68,2023-11-20 00:02:35.000 UTC,18609296,1612100000000000000,1.6121,3245.786019,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,opensea,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xbe9371326f91345777b04394448c23e2bfeaa826,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,38299,Trade,buy,single item trade,0x284fac396f91bef14354ff709b66ac3aae8d2bb48158eb36e234dd2c621e551e,2023-11-20 00:02:47.000 UTC,18609297,16500000000000000,0.0165,33.220935000000004,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0x12c1cad925a303298725db1f58ecb8def9190176,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xd0f0d5e036d1f4c6524e0b58cb52f85b03a76e09,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,1146,Trade,Sell,secondary,0xd4444a856198a2c19110eb5b1e3e6f9929964427ba91ce54c727709c8a969783,2023-11-20 00:02:47.000 UTC,18609297,70000000000000000,0.07,140.93730000000002,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xada683ed9fb4fe655f66869b78f63d4764bfa31d,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0x551e54cd4bbfcc9440aeb7b5a7c9123c0aefd239,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,2303,Trade,buy,single item trade,0x2aac4612ebfde8e1991e55b20619b3e744220fa6188210a3e1135fbc438cb77a,2023-11-20 00:02:59.000 UTC,18609298,400000000000000,0.0004,0.8053560000000001,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0x2837fcb77f693389e61acf1a16c3c6f3c3465d73,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xbce6d2aa86934af4317ab8615f89e3f9430914cb,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,549,Trade,buy,single item trade,0xfe49b8729e35127733f8cd3321364c39d558ce07987851bb556c0fb1f88c4f50,2023-11-20 00:03:23.000 UTC,18609300,190000000000000000,0.19,382.5441,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0x533ab47493d8ecc6d22e0d1f37a1c113762d6a09,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0x1c67d8f07d7ef2d637e61ed3fbc3fa9aaf7a6267,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1262,Trade,buy,single item trade,0x2a878dd7c517f5b9b85a3d452dee7fc4f72dadc8d9879e156c19fc0023e106fc,2023-11-20 00:04:11.000 UTC,18609304,290000000000000000,0.29,583.8831,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0x732739de18df630b354ec365a927a4f4f2bf28e5,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0x2b6df7f8389e6ecf97a0f06b189349c409a24083,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,2024,Trade,Sell,secondary,0x48a169767774f2663af905a11c7d01c6909d9df50e1ddbfe0d0845dfb7d8a03a,2023-11-20 00:04:59.000 UTC,18609308,160000000000000000,0.16,322.1424,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0x0b6d56b0aebcba43052e7c172de9754338fd3dd1,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0x3eaca86be9ceeadc14c1932753aeec0d83a372a6,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,258,Trade,offer accepted,single item trade,0x5d21bc9f9368fc3609454e4f0837913b64b5859dc622e0c3daf98acdb48baebd,2023-11-20 00:04:59.000 UTC,18609308,31900000000000000,0.0319,64.227141,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,opensea,1,0x956d808c858803302effa483b4d41ea0cb5f1137,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
